Cod_setor,Situacao_setor,V001,V060,V061,maioria
250200305000006,8,38,1,1,Mulheres
250200305000007,8,68,2,5,Mulheres
250200305000008,8,109,3,6,Mulheres
250200305000009,8,92,2,4,Mulheres
250200305000010,8,33,0,0,Mulheres
250200305000011,8,41,1,6,Mulheres
250200305000012,8,45,5,4,Homens
250200305000013,8,55,2,4,Mulheres
250200305000014,1,229,17,10,Homens
250200305000015,1,132,8,9,Mulheres
250200305000016,1,190,20,4,Mulheres
250205205000001,1,251,24,10,Homens
250205205000002,8,199,15,13,Homens
250205205000003,8,154,11,6,Mulheres
250205205000004,5,100,5,4,Homens
250205205000005,5,99,6,0,Homens
250210205000001,1,359,30,13,Homens
250210205000002,1,311,41,20,Homens
250210205000003,1,314,19,13,Homens
250210205000004,8,187,9,9,Mulheres
250210205000005,8,165,2,11,Homens
250210205000006,8,112,5,8,Mulheres
250210205000007,8,30,2,1,Homens
250210205000008,5,18,1,0,Homens
250215105000001,1,231,23,12,Homens
250215105000002,1,202,29,9,Mulheres
250215105000003,8,186,10,12,Mulheres
250215105000004,8,260,13,23,Mulheres
250215105000005,8,144,4,14,Homens
250215105000006,8,145,10,14,Mulheres
250215105000007,1,253,17,12,Homens
250215105000008,1,222,11,11,Mulheres
250215105000009,4,94,6,6,Mulheres
250220105000001,1,305,31,15,Homens
250220105000002,8,106,3,15,Homens
250220105000003,8,98,6,8,Mulheres
250220105000004,5,190,19,6,Mulheres
250230005000001,1,204,25,12,Homens
250230005000002,1,235,30,14,Homens
250230005000003,8,43,2,1,Homens
250230005000004,8,90,2,6,Mulheres
250230005000005,8,104,7,2,Homens
250230005000006,5,109,12,11,Homens
250230005000007,8,118,7,5,Homens
250230005000008,8,67,3,0,Homens
250230005000009,8,190,13,6,Mulheres
250230005000010,8,152,4,11,Homens
250230005000011,1,205,30,15,Homens
250240905000001,1,249,39,13,Homens
250240905000002,1,343,22,19,Homens
250240905000003,1,239,40,11,Homens
250240905000004,1,211,18,13,Homens
250240905000005,1,353,34,20,Homens
250240905000006,8,166,5,12,Homens
250240905000007,8,73,1,5,Mulheres
250240905000008,8,85,1,15,Mulheres
250240905000009,8,90,0,7,Mulheres
250240905000010,8,112,5,2,Homens
250240905000011,1,229,22,14,Homens
250240905000012,1,205,15,16,Mulheres
250240930000001,1,196,17,8,Mulheres
250240930000002,8,150,2,13,Homens
250240930000003,8,113,8,2,Homens
250250805000001,1,249,48,15,Homens
250250805000002,1,269,53,17,Homens
250250805000003,1,160,14,6,Mulheres
